feature,chi2,p,n_target,n_reference
lv-426,0.8880117810943017,0.346016665619558,1,0
ly,0.8880117810943017,0.346016665619558,1,0
lyle,0.8880117810943017,0.346016665619558,1,0
lyn,0.8880117810943017,0.346016665619558,1,0
lynchian,0.8880117810943017,0.346016665619558,1,0
lynchings,0.8880117810943017,0.346016665619558,1,0
lyon,0.8880117810943017,0.346016665619558,1,0
lyricized,0.8880117810943017,0.346016665619558,1,0
maaia,0.8880117810943017,0.346016665619558,1,0
macalaester,0.8880117810943017,0.346016665619558,1,0
macchio,0.8880117810943017,0.346016665619558,1,0
maccormack,0.8880117810943017,0.346016665619558,1,0
mace,0.8880117810943017,0.346016665619558,1,0
mach,0.8880117810943017,0.346016665619558,1,0
machette,0.8880117810943017,0.346016665619558,1,0
machine-gunning,0.8880117810943017,0.346016665619558,1,0
machinegun,0.8880117810943017,0.346016665619558,1,0
machinists,0.8880117810943017,0.346016665619558,1,0
maclachlan's,0.8880117810943017,0.346016665619558,1,0
maclaine,0.8880117810943017,0.346016665619558,1,0
macleod,0.8880117810943017,0.346016665619558,1,0
mad-libs,0.8880117810943017,0.346016665619558,1,0
mad-scientist-in-bavarian-castle,0.8880117810943017,0.346016665619558,1,0
maddalena,0.8880117810943017,0.346016665619558,1,0
maddens,0.8880117810943017,0.346016665619558,1,0
madeiros,0.8880117810943017,0.346016665619558,1,0
madeliene,0.8880117810943017,0.346016665619558,1,0
madisons,0.8880117810943017,0.346016665619558,1,0
madman's,0.8880117810943017,0.346016665619558,1,0
madman-cum-detective,0.8880117810943017,0.346016665619558,1,0
madmen,0.8880117810943017,0.346016665619558,1,0
madonna-marrying,0.8880117810943017,0.346016665619558,1,0
madrid,0.8880117810943017,0.346016665619558,1,0
maduro,0.8880117810943017,0.346016665619558,1,0
madyline,0.8880117810943017,0.346016665619558,1,0
maeda,0.8880117810943017,0.346016665619558,1,0
mafia's,0.8880117810943017,0.346016665619558,1,0
magali,0.8880117810943017,0.346016665619558,1,0
magenta,0.8880117810943017,0.346016665619558,1,0
magherini,0.8880117810943017,0.346016665619558,1,0
magic-realism,0.8880117810943017,0.346016665619558,1,0
magic_,0.8880117810943017,0.346016665619558,1,0
magisterial,0.8880117810943017,0.346016665619558,1,0
magistrate,0.8880117810943017,0.346016665619558,1,0
magnificient,0.8880117810943017,0.346016665619558,1,0
magnus,0.8880117810943017,0.346016665619558,1,0
magnuson,0.8880117810943017,0.346016665619558,1,0
maguire's,0.8880117810943017,0.346016665619558,1,0
maid's,0.8880117810943017,0.346016665619558,1,0
maidservant,0.8880117810943017,0.346016665619558,1,0
mailer's,0.8880117810943017,0.346016665619558,1,0
mails,0.8880117810943017,0.346016665619558,1,0
maimed,0.8880117810943017,0.346016665619558,1,0
maiwenn,0.8880117810943017,0.346016665619558,1,0
majestically,0.8880117810943017,0.346016665619558,1,0
majesty,0.8880117810943017,0.346016665619558,1,0
majesty's,0.8880117810943017,0.346016665619558,1,0
majoring,0.8880117810943017,0.346016665619558,1,0
majpr,0.8880117810943017,0.346016665619558,1,0
make's,0.8880117810943017,0.346016665619558,1,0
maladjustment,0.8880117810943017,0.346016665619558,1,0
malaise,0.8880117810943017,0.346016665619558,1,0
malay,0.8880117810943017,0.346016665619558,1,0
male's,0.8880117810943017,0.346016665619558,1,0
male-oriented,0.8880117810943017,0.346016665619558,1,0
malevolence,0.8880117810943017,0.346016665619558,1,0
malfunctioning,0.8880117810943017,0.346016665619558,1,0
malfunctions,0.8880117810943017,0.346016665619558,1,0
maligned,0.8880117810943017,0.346016665619558,1,0
malintentioned,0.8880117810943017,0.346016665619558,1,0
malko,0.8880117810943017,0.346016665619558,1,0
malko-visits,0.8880117810943017,0.346016665619558,1,0
malleability,0.8880117810943017,0.346016665619558,1,0
malnutrition,0.8880117810943017,0.346016665619558,1,0
malone's,0.8880117810943017,0.346016665619558,1,0
malory's,0.8880117810943017,0.346016665619558,1,0
malt-liquor,0.8880117810943017,0.346016665619558,1,0
maltese,0.8880117810943017,0.346016665619558,1,0
mambos,0.8880117810943017,0.346016665619558,1,0
mamoru,0.8880117810943017,0.346016665619558,1,0
man-hating,0.8880117810943017,0.346016665619558,1,0
man-hunting,0.8880117810943017,0.346016665619558,1,0
man-portable,0.8880117810943017,0.346016665619558,1,0
manageable,0.8880117810943017,0.346016665619558,1,0
mand,0.8880117810943017,0.346016665619558,1,0
mandated,0.8880117810943017,0.346016665619558,1,0
mandella,0.8880117810943017,0.346016665619558,1,0
mandible,0.8880117810943017,0.346016665619558,1,0
mandibles,0.8880117810943017,0.346016665619558,1,0
mandrian,0.8880117810943017,0.346016665619558,1,0
maneating,0.8880117810943017,0.346016665619558,1,0
manfully,0.8880117810943017,0.346016665619558,1,0
mangalores,0.8880117810943017,0.346016665619558,1,0
manh,0.8880117810943017,0.346016665619558,1,0
manhatten,0.8880117810943017,0.346016665619558,1,0
manhoff,0.8880117810943017,0.346016665619558,1,0
manhole,0.8880117810943017,0.346016665619558,1,0
maniacial,0.8880117810943017,0.346016665619558,1,0
manic-depressive,0.8880117810943017,0.346016665619558,1,0
manicurist,0.8880117810943017,0.346016665619558,1,0
manifesto,0.8880117810943017,0.346016665619558,1,0
manip,0.8880117810943017,0.346016665619558,1,0
manmade,0.8880117810943017,0.346016665619558,1,0
mano-et-mano,0.8880117810943017,0.346016665619558,1,0
manolo,0.8880117810943017,0.346016665619558,1,0
manouvering,0.8880117810943017,0.346016665619558,1,0
mansell,0.8880117810943017,0.346016665619558,1,0
mantegna's,0.8880117810943017,0.346016665619558,1,0
mantel,0.8880117810943017,0.346016665619558,1,0
mantis,0.8880117810943017,0.346016665619558,1,0
mantlepiece,0.8880117810943017,0.346016665619558,1,0
mantra-like,0.8880117810943017,0.346016665619558,1,0
manuel,0.8880117810943017,0.346016665619558,1,0
mapplethorpe,0.8880117810943017,0.346016665619558,1,0
marble,0.8880117810943017,0.346016665619558,1,0
marceau's,0.8880117810943017,0.346016665619558,1,0
marched,0.8880117810943017,0.346016665619558,1,0
marcy's,0.8880117810943017,0.346016665619558,1,0
mardi,0.8880117810943017,0.346016665619558,1,0
marginalized,0.8880117810943017,0.346016665619558,1,0
margot,0.8880117810943017,0.346016665619558,1,0
marianna,0.8880117810943017,0.346016665619558,1,0
marianna's,0.8880117810943017,0.346016665619558,1,0
marie-therese,0.8880117810943017,0.346016665619558,1,0
marienbad,0.8880117810943017,0.346016665619558,1,0
marigolds,0.8880117810943017,0.346016665619558,1,0
marijunana,0.8880117810943017,0.346016665619558,1,0
marionettes,0.8880117810943017,0.346016665619558,1,0
marius's,0.8880117810943017,0.346016665619558,1,0
mark's,0.8880117810943017,0.346016665619558,1,0
marker's,0.8880117810943017,0.346016665619558,1,0
marketers,0.8880117810943017,0.346016665619558,1,0
markie,0.8880117810943017,0.346016665619558,1,0
markings,0.8880117810943017,0.346016665619558,1,0
marko,0.8880117810943017,0.346016665619558,1,0
marksman,0.8880117810943017,0.346016665619558,1,0
marmet,0.8880117810943017,0.346016665619558,1,0
marni,0.8880117810943017,0.346016665619558,1,0
maron,0.8880117810943017,0.346016665619558,1,0
marriageable,0.8880117810943017,0.346016665619558,1,0
marridge,0.8880117810943017,0.346016665619558,1,0
martineau,0.8880117810943017,0.346016665619558,1,0
martyrs,0.8880117810943017,0.346016665619558,1,0
marveled,0.8880117810943017,0.346016665619558,1,0
marvelling,0.8880117810943017,0.346016665619558,1,0
marvels,0.8880117810943017,0.346016665619558,1,0
maryann,0.8880117810943017,0.346016665619558,1,0
masahitko,0.8880117810943017,0.346016665619558,1,0
masala,0.8880117810943017,0.346016665619558,1,0
masayuki,0.8880117810943017,0.346016665619558,1,0
masochism,0.8880117810943017,0.346016665619558,1,0
masochist,0.8880117810943017,0.346016665619558,1,0
massacering,0.8880117810943017,0.346016665619558,1,0
massacres,0.8880117810943017,0.346016665619558,1,0
massage-therapist,0.8880117810943017,0.346016665619558,1,0
massages,0.8880117810943017,0.346016665619558,1,0
masseur,0.8880117810943017,0.346016665619558,1,0
mast's,0.8880117810943017,0.346016665619558,1,0
master-servant,0.8880117810943017,0.346016665619558,1,0
masterfully-done,0.8880117810943017,0.346016665619558,1,0
mastering,0.8880117810943017,0.346016665619558,1,0
masterpiece-he,0.8880117810943017,0.346016665619558,1,0
mastubatory,0.8880117810943017,0.346016665619558,1,0
masturbator,0.8880117810943017,0.346016665619558,1,0
mat,0.8880117810943017,0.346016665619558,1,0
matchmakers,0.8880117810943017,0.346016665619558,1,0
material's,0.8880117810943017,0.346016665619558,1,0
materialism,0.8880117810943017,0.346016665619558,1,0
materialist,0.8880117810943017,0.346016665619558,1,0
maternity,0.8880117810943017,0.346016665619558,1,0
mathieu,0.8880117810943017,0.346016665619558,1,0
mathilda's,0.8880117810943017,0.346016665619558,1,0
matin,0.8880117810943017,0.346016665619558,1,0
matriarch,0.8880117810943017,0.346016665619558,1,0
matrix's,0.8880117810943017,0.346016665619558,1,0
matron's,0.8880117810943017,0.346016665619558,1,0
matrons,0.8880117810943017,0.346016665619558,1,0
matsumoto,0.8880117810943017,0.346016665619558,1,0
matter-of-factness,0.8880117810943017,0.346016665619558,1,0
matter-their,0.8880117810943017,0.346016665619558,1,0
matthews,0.8880117810943017,0.346016665619558,1,0
matthieu,0.8880117810943017,0.346016665619558,1,0
maturation,0.8880117810943017,0.346016665619558,1,0
matzo,0.8880117810943017,0.346016665619558,1,0
mauds,0.8880117810943017,0.346016665619558,1,0
maunau's,0.8880117810943017,0.346016665619558,1,0
maurice-jones,0.8880117810943017,0.346016665619558,1,0
maven,0.8880117810943017,0.346016665619558,1,0
maxi,0.8880117810943017,0.346016665619558,1,0
maximal,0.8880117810943017,0.346016665619558,1,0
maximes,0.8880117810943017,0.346016665619558,1,0
mayan,0.8880117810943017,0.346016665619558,1,0
mayfield-directed,0.8880117810943017,0.346016665619558,1,0
mazzello's,0.8880117810943017,0.346016665619558,1,0
mc-ubiquitous,0.8880117810943017,0.346016665619558,1,0
mcallister,0.8880117810943017,0.346016665619558,1,0
mccalister,0.8880117810943017,0.346016665619558,1,0
mccann,0.8880117810943017,0.346016665619558,1,0
mcclain,0.8880117810943017,0.346016665619558,1,0
mcclaine,0.8880117810943017,0.346016665619558,1,0
mccourt,0.8880117810943017,0.346016665619558,1,0
mcdonough,0.8880117810943017,0.346016665619558,1,0
mcelhone's,0.8880117810943017,0.346016665619558,1,0
mcemployees,0.8880117810943017,0.346016665619558,1,0
mcflurry,0.8880117810943017,0.346016665619558,1,0
mcfly,0.8880117810943017,0.346016665619558,1,0
mcgann's,0.8880117810943017,0.346016665619558,1,0
mcgavin,0.8880117810943017,0.346016665619558,1,0
mcglory,0.8880117810943017,0.346016665619558,1,0
mcglory's,0.8880117810943017,0.346016665619558,1,0
mcgovern,0.8880117810943017,0.346016665619558,1,0
mcgreggor,0.8880117810943017,0.346016665619558,1,0
mcguigan,0.8880117810943017,0.346016665619558,1,0
mchugh,0.8880117810943017,0.346016665619558,1,0
mchugh's,0.8880117810943017,0.346016665619558,1,0
mcinnerny,0.8880117810943017,0.346016665619558,1,0
mcjob,0.8880117810943017,0.346016665619558,1,0
mckean's,0.8880117810943017,0.346016665619558,1,0
mckellar's,0.8880117810943017,0.346016665619558,1,0
mckellen's,0.8880117810943017,0.346016665619558,1,0
mckidd,0.8880117810943017,0.346016665619558,1,0
mckinley,0.8880117810943017,0.346016665619558,1,0
mclachlan's,0.8880117810943017,0.346016665619558,1,0
mclachlan-aided,0.8880117810943017,0.346016665619558,1,0
mcmullen-style,0.8880117810943017,0.346016665619558,1,0
mcniell,0.8880117810943017,0.346016665619558,1,0
mcpherson,0.8880117810943017,0.346016665619558,1,0
mcpherson's,0.8880117810943017,0.346016665619558,1,0
mcsorley,0.8880117810943017,0.346016665619558,1,0
mcteer's,0.8880117810943017,0.346016665619558,1,0
me-first,0.8880117810943017,0.346016665619558,1,0
me-had,0.8880117810943017,0.346016665619558,1,0
mea,0.8880117810943017,0.346016665619558,1,0
meadows,0.8880117810943017,0.346016665619558,1,0
mean-spiritedness,0.8880117810943017,0.346016665619558,1,0
mean-tempered,0.8880117810943017,0.346016665619558,1,0
measles,0.8880117810943017,0.346016665619558,1,0
measly,0.8880117810943017,0.346016665619558,1,0
measurement's,0.8880117810943017,0.346016665619558,1,0
mecca,0.8880117810943017,0.346016665619558,1,0
mechanically,0.8880117810943017,0.346016665619558,1,0
mechanically-challenged,0.8880117810943017,0.346016665619558,1,0
meddle,0.8880117810943017,0.346016665619558,1,0
medgar,0.8880117810943017,0.346016665619558,1,0
media-manipulation,0.8880117810943017,0.346016665619558,1,0
media-saturated,0.8880117810943017,0.346016665619558,1,0
mediajunkies,0.8880117810943017,0.346016665619558,1,0
mediator,0.8880117810943017,0.346016665619558,1,0
medical-gross-outs,0.8880117810943017,0.346016665619558,1,0
medicinal,0.8880117810943017,0.346016665619558,1,0
mediciney,0.8880117810943017,0.346016665619558,1,0
mediterranean,0.8880117810943017,0.346016665619558,1,0
mega-bookstores,0.8880117810943017,0.346016665619558,1,0
mega-budgeted,0.8880117810943017,0.346016665619558,1,0
mega-hot,0.8880117810943017,0.346016665619558,1,0
megabytes,0.8880117810943017,0.346016665619558,1,0
megaglomaniac,0.8880117810943017,0.346016665619558,1,0
megahit,0.8880117810943017,0.346016665619558,1,0
megalopolis,0.8880117810943017,0.346016665619558,1,0
melodies,0.8880117810943017,0.346016665619558,1,0
melodramtic,0.8880117810943017,0.346016665619558,1,0
meloncholy,0.8880117810943017,0.346016665619558,1,0
meltdown,0.8880117810943017,0.346016665619558,1,0
melvon's,0.8880117810943017,0.346016665619558,1,0
member's,0.8880117810943017,0.346016665619558,1,0
memory-diminishing,0.8880117810943017,0.346016665619558,1,0
men-only,0.8880117810943017,0.346016665619558,1,0
menace's,0.8880117810943017,0.346016665619558,1,0
menaced,0.8880117810943017,0.346016665619558,1,0
mendonca,0.8880117810943017,0.346016665619558,1,0
menno,0.8880117810943017,0.346016665619558,1,0
mensch,0.8880117810943017,0.346016665619558,1,0
mental-patient,0.8880117810943017,0.346016665619558,1,0
mentoring,0.8880117810943017,0.346016665619558,1,0
ments,0.8880117810943017,0.346016665619558,1,0
mer,0.8880117810943017,0.346016665619558,1,0
merciful,0.8880117810943017,0.346016665619558,1,0
mercutio,0.8880117810943017,0.346016665619558,1,0
meredith,0.8880117810943017,0.346016665619558,1,0
meredith's,0.8880117810943017,0.346016665619558,1,0
meri,0.8880117810943017,0.346016665619558,1,0
merle,0.8880117810943017,0.346016665619558,1,0
merlin's,0.8880117810943017,0.346016665619558,1,0
mermaid's,0.8880117810943017,0.346016665619558,1,0
merpeople,0.8880117810943017,0.346016665619558,1,0
merrill's,0.8880117810943017,0.346016665619558,1,0
merry-go-round,0.8880117810943017,0.346016665619558,1,0
merton's,0.8880117810943017,0.346016665619558,1,0
mesa,0.8880117810943017,0.346016665619558,1,0
mesmerising,0.8880117810943017,0.346016665619558,1,0
mesmerize,0.8880117810943017,0.346016665619558,1,0
mesmerizes,0.8880117810943017,0.346016665619558,1,0
messageable,0.8880117810943017,0.346016665619558,1,0
messengers,0.8880117810943017,0.346016665619558,1,0
messier,0.8880117810943017,0.346016665619558,1,0
messiest,0.8880117810943017,0.346016665619558,1,0
metaphysics,0.8880117810943017,0.346016665619558,1,0
meteorologist,0.8880117810943017,0.346016665619558,1,0
metered,0.8880117810943017,0.346016665619558,1,0
methodically,0.8880117810943017,0.346016665619558,1,0
meticulousness,0.8880117810943017,0.346016665619558,1,0
meting,0.8880117810943017,0.346016665619558,1,0
metoclorian,0.8880117810943017,0.346016665619558,1,0
mets,0.8880117810943017,0.346016665619558,1,0
mets-orioles,0.8880117810943017,0.346016665619558,1,0
metzler,0.8880117810943017,0.346016665619558,1,0
meudon,0.8880117810943017,0.346016665619558,1,0
mews,0.8880117810943017,0.346016665619558,1,0
mexican-american,0.8880117810943017,0.346016665619558,1,0
meyjes,0.8880117810943017,0.346016665619558,1,0
micheal,0.8880117810943017,0.346016665619558,1,0
michell,0.8880117810943017,0.346016665619558,1,0
micro-organisms,0.8880117810943017,0.346016665619558,1,0
microphone,0.8880117810943017,0.346016665619558,1,0
microscope,0.8880117810943017,0.346016665619558,1,0
microsoft,0.8880117810943017,0.346016665619558,1,0
mid-1500s,0.8880117810943017,0.346016665619558,1,0
mid-1800s,0.8880117810943017,0.346016665619558,1,0
mid-50,0.8880117810943017,0.346016665619558,1,0
mid-east,0.8880117810943017,0.346016665619558,1,0
mid-film,0.8880117810943017,0.346016665619558,1,0
mid-teenage,0.8880117810943017,0.346016665619558,1,0
mid-west,0.8880117810943017,0.346016665619558,1,0
middair,0.8880117810943017,0.346016665619558,1,0
middle-man,0.8880117810943017,0.346016665619558,1,0
middle-of-the-road,0.8880117810943017,0.346016665619558,1,0
middleage,0.8880117810943017,0.346016665619558,1,0
middlemen,0.8880117810943017,0.346016665619558,1,0
middleton,0.8880117810943017,0.346016665619558,1,0
midknight,0.8880117810943017,0.346016665619558,1,0
midriff,0.8880117810943017,0.346016665619558,1,0
mie,0.8880117810943017,0.346016665619558,1,0
miep,0.8880117810943017,0.346016665619558,1,0
mifune,0.8880117810943017,0.346016665619558,1,0
migraine-inducing,0.8880117810943017,0.346016665619558,1,0
migraines,0.8880117810943017,0.346016665619558,1,0
migrated,0.8880117810943017,0.346016665619558,1,0
migrates,0.8880117810943017,0.346016665619558,1,0
migration,0.8880117810943017,0.346016665619558,1,0
mikey's,0.8880117810943017,0.346016665619558,1,0
mikhail's,0.8880117810943017,0.346016665619558,1,0
milagro,0.8880117810943017,0.346016665619558,1,0
mildew-like,0.8880117810943017,0.346016665619558,1,0
mile's,0.8880117810943017,0.346016665619558,1,0
mile-high,0.8880117810943017,0.346016665619558,1,0
militant's,0.8880117810943017,0.346016665619558,1,0
militants,0.8880117810943017,0.346016665619558,1,0
militarism,0.8880117810943017,0.346016665619558,1,0
militaristic,0.8880117810943017,0.346016665619558,1,0
milius,0.8880117810943017,0.346016665619558,1,0
milkshake,0.8880117810943017,0.346016665619558,1,0
mill-types,0.8880117810943017,0.346016665619558,1,0
millie's,0.8880117810943017,0.346016665619558,1,0
millieu,0.8880117810943017,0.346016665619558,1,0
milliken,0.8880117810943017,0.346016665619558,1,0
millionare,0.8880117810943017,0.346016665619558,1,0
miming,0.8880117810943017,0.346016665619558,1,0
mina,0.8880117810943017,0.346016665619558,1,0
minbo,0.8880117810943017,0.346016665619558,1,0
mincemeat,0.8880117810943017,0.346016665619558,1,0
mind-bender,0.8880117810943017,0.346016665619558,1,0
mind-boggling,0.8880117810943017,0.346016665619558,1,0
mind-moving,0.8880117810943017,0.346016665619558,1,0
minding,0.8880117810943017,0.346016665619558,1,0
mindstretching,0.8880117810943017,0.346016665619558,1,0
mine-cart,0.8880117810943017,0.346016665619558,1,0
minefield,0.8880117810943017,0.346016665619558,1,0
mineo,0.8880117810943017,0.346016665619558,1,0
ming's,0.8880117810943017,0.346016665619558,1,0
minghella,0.8880117810943017,0.346016665619558,1,0
mingle,0.8880117810943017,0.346016665619558,1,0
mini-classic,0.8880117810943017,0.346016665619558,1,0
mini-masterpieces,0.8880117810943017,0.346016665619558,1,0
mini-plots-within-plots,0.8880117810943017,0.346016665619558,1,0
minimizing,0.8880117810943017,0.346016665619558,1,0
minimums,0.8880117810943017,0.346016665619558,1,0
minisub,0.8880117810943017,0.346016665619558,1,0
mink,0.8880117810943017,0.346016665619558,1,0
minorly,0.8880117810943017,0.346016665619558,1,0
minstrels,0.8880117810943017,0.346016665619558,1,0
minute's,0.8880117810943017,0.346016665619558,1,0
miracuously,0.8880117810943017,0.346016665619558,1,0
miracurously,0.8880117810943017,0.346016665619558,1,0
mirkin's,0.8880117810943017,0.346016665619558,1,0
mirror-panel,0.8880117810943017,0.346016665619558,1,0
mirroring,0.8880117810943017,0.346016665619558,1,0
mirth,0.8880117810943017,0.346016665619558,1,0
mirthless,0.8880117810943017,0.346016665619558,1,0
mis-adventure,0.8880117810943017,0.346016665619558,1,0
miscarries,0.8880117810943017,0.346016665619558,1,0
mischevious,0.8880117810943017,0.346016665619558,1,0
mischievously,0.8880117810943017,0.346016665619558,1,0
mischievousness,0.8880117810943017,0.346016665619558,1,0
miscommunicated,0.8880117810943017,0.346016665619558,1,0
misconception,0.8880117810943017,0.346016665619558,1,0
misconceptions,0.8880117810943017,0.346016665619558,1,0
miserly,0.8880117810943017,0.346016665619558,1,0
misinterprets,0.8880117810943017,0.346016665619558,1,0
misjudgment,0.8880117810943017,0.346016665619558,1,0
mislead,0.8880117810943017,0.346016665619558,1,0
misogyny,0.8880117810943017,0.346016665619558,1,0
misperception,0.8880117810943017,0.346016665619558,1,0
misprinted,0.8880117810943017,0.346016665619558,1,0
missive,0.8880117810943017,0.346016665619558,1,0
mist-esque,0.8880117810943017,0.346016665619558,1,0
mist-shrouded,0.8880117810943017,0.346016665619558,1,0
mistake-free,0.8880117810943017,0.346016665619558,1,0
mistakenly-suspected,0.8880117810943017,0.346016665619558,1,0
mistakingly,0.8880117810943017,0.346016665619558,1,0
mister,0.8880117810943017,0.346016665619558,1,0
mistfortune,0.8880117810943017,0.346016665619558,1,0
mistic,0.8880117810943017,0.346016665619558,1,0
mistletoe,0.8880117810943017,0.346016665619558,1,0
mistrust,0.8880117810943017,0.346016665619558,1,0
mistrustful,0.8880117810943017,0.346016665619558,1,0
misunderstandings,0.8880117810943017,0.346016665619558,1,0
misused,0.8880117810943017,0.346016665619558,1,0
misusing,0.8880117810943017,0.346016665619558,1,0
mitchell's,0.8880117810943017,0.346016665619558,1,0
mitigated,0.8880117810943017,0.346016665619558,1,0
mix-and-match,0.8880117810943017,0.346016665619558,1,0
mix-ups,0.8880117810943017,0.346016665619558,1,0
mixed-coffin,0.8880117810943017,0.346016665619558,1,0
mixed-up,0.8880117810943017,0.346016665619558,1,0
mixer,0.8880117810943017,0.346016665619558,1,0
mixers,0.8880117810943017,0.346016665619558,1,0
miyake,0.8880117810943017,0.346016665619558,1,0
mj,0.8880117810943017,0.346016665619558,1,0
mlakovich,0.8880117810943017,0.346016665619558,1,0
mm's,0.8880117810943017,0.346016665619558,1,0
moat,0.8880117810943017,0.346016665619558,1,0
moat-filled,0.8880117810943017,0.346016665619558,1,0
mob-style,0.8880117810943017,0.346016665619558,1,0
mobilizes,0.8880117810943017,0.346016665619558,1,0
mobutu's,0.8880117810943017,0.346016665619558,1,0
model's,0.8880117810943017,0.346016665619558,1,0
model-citizens,0.8880117810943017,0.346016665619558,1,0
modelled,0.8880117810943017,0.346016665619558,1,0
moderator,0.8880117810943017,0.346016665619558,1,0
modernisation,0.8880117810943017,0.346016665619558,1,0
modernist,0.8880117810943017,0.346016665619558,1,0
modify,0.8880117810943017,0.346016665619558,1,0
modulated,0.8880117810943017,0.346016665619558,1,0
moe,0.8880117810943017,0.346016665619558,1,0
moff,0.8880117810943017,0.346016665619558,1,0
moffat,0.8880117810943017,0.346016665619558,1,0
moi,0.8880117810943017,0.346016665619558,1,0
moisten,0.8880117810943017,0.346016665619558,1,0
mol's,0.8880117810943017,0.346016665619558,1,0
molinaro,0.8880117810943017,0.346016665619558,1,0
moloney,0.8880117810943017,0.346016665619558,1,0
mommas,0.8880117810943017,0.346016665619558,1,0
mommies,0.8880117810943017,0.346016665619558,1,0
monarchy,0.8880117810943017,0.346016665619558,1,0
mondays,0.8880117810943017,0.346016665619558,1,0
mone,0.8880117810943017,0.346016665619558,1,0
monet,0.8880117810943017,0.346016665619558,1,0
moneymakers,0.8880117810943017,0.346016665619558,1,0
monger,0.8880117810943017,0.346016665619558,1,0
mongkut's,0.8880117810943017,0.346016665619558,1,0
mongolian,0.8880117810943017,0.346016665619558,1,0
moniters,0.8880117810943017,0.346016665619558,1,0
monitored,0.8880117810943017,0.346016665619558,1,0
monk-like,0.8880117810943017,0.346016665619558,1,0
monkey's,0.8880117810943017,0.346016665619558,1,0
monoko,0.8880117810943017,0.346016665619558,1,0
monoliths,0.8880117810943017,0.346016665619558,1,0
monomaniacal,0.8880117810943017,0.346016665619558,1,0
mononoke,0.8880117810943017,0.346016665619558,1,0
monosyllables,0.8880117810943017,0.346016665619558,1,0
monroth,0.8880117810943017,0.346016665619558,1,0
monsieur,0.8880117810943017,0.346016665619558,1,0
monsoon,0.8880117810943017,0.346016665619558,1,0
montage-backed,0.8880117810943017,0.346016665619558,1,0
monuments,0.8880117810943017,0.346016665619558,1,0
moo,0.8880117810943017,0.346016665619558,1,0
mooch,0.8880117810943017,0.346016665619558,1,0
moonlight,0.8880117810943017,0.346016665619558,1,0
moonlighted,0.8880117810943017,0.346016665619558,1,0
moonlit,0.8880117810943017,0.346016665619558,1,0
moonshine,0.8880117810943017,0.346016665619558,1,0
moonstruck,0.8880117810943017,0.346016665619558,1,0
moores,0.8880117810943017,0.346016665619558,1,0
moorhouse,0.8880117810943017,0.346016665619558,1,0
moot,0.8880117810943017,0.346016665619558,1,0
mora,0.8880117810943017,0.346016665619558,1,0
moral-christian,0.8880117810943017,0.346016665619558,1,0
morales,0.8880117810943017,0.346016665619558,1,0
moralize,0.8880117810943017,0.346016665619558,1,0
morally-deprived,0.8880117810943017,0.346016665619558,1,0
morante,0.8880117810943017,0.346016665619558,1,0
mordantly,0.8880117810943017,0.346016665619558,1,0
mordred,0.8880117810943017,0.346016665619558,1,0
more-than-welcome,0.8880117810943017,0.346016665619558,1,0
moriceau's,0.8880117810943017,0.346016665619558,1,0
morissey,0.8880117810943017,0.346016665619558,1,0
moritz,0.8880117810943017,0.346016665619558,1,0
morlocks,0.8880117810943017,0.346016665619558,1,0
mormon,0.8880117810943017,0.346016665619558,1,0
moroder's,0.8880117810943017,0.346016665619558,1,0
moronism,0.8880117810943017,0.346016665619558,1,0
morpheus's,0.8880117810943017,0.346016665619558,1,0
morphin,0.8880117810943017,0.346016665619558,1,0
morphine,0.8880117810943017,0.346016665619558,1,0
morphings,0.8880117810943017,0.346016665619558,1,0
morquio,0.8880117810943017,0.346016665619558,1,0
morrissey,0.8880117810943017,0.346016665619558,1,0
morte,0.8880117810943017,0.346016665619558,1,0
morva,0.8880117810943017,0.346016665619558,1,0
mosques,0.8880117810943017,0.346016665619558,1,0
moss-covered,0.8880117810943017,0.346016665619558,1,0
most-eagerly,0.8880117810943017,0.346016665619558,1,0
most-famous,0.8880117810943017,0.346016665619558,1,0
mostly-straightforward,0.8880117810943017,0.346016665619558,1,0
mostly-unrelated-storywise,0.8880117810943017,0.346016665619558,1,0
mot,0.8880117810943017,0.346016665619558,1,0
mother-of-all-storms,0.8880117810943017,0.346016665619558,1,0
mother-surrogate,0.8880117810943017,0.346016665619558,1,0
motherfucker,0.8880117810943017,0.346016665619558,1,0
mothering,0.8880117810943017,0.346016665619558,1,0
motherless,0.8880117810943017,0.346016665619558,1,0
motherload,0.8880117810943017,0.346016665619558,1,0
motherlode,0.8880117810943017,0.346016665619558,1,0
motionlessly,0.8880117810943017,0.346016665619558,1,0
motiveless,0.8880117810943017,0.346016665619558,1,0
motor-mouthed,0.8880117810943017,0.346016665619558,1,0
motorcylce,0.8880117810943017,0.346016665619558,1,0
motorhead,0.8880117810943017,0.346016665619558,1,0
motorized,0.8880117810943017,0.346016665619558,1,0
motown-singing,0.8880117810943017,0.346016665619558,1,0
mould,0.8880117810943017,0.346016665619558,1,0
mountain-climber,0.8880117810943017,0.346016665619558,1,0
mountain-side,0.8880117810943017,0.346016665619558,1,0
mountainsides,0.8880117810943017,0.346016665619558,1,0
mountaintops,0.8880117810943017,0.346016665619558,1,0
mourned,0.8880117810943017,0.346016665619558,1,0
mournfulness,0.8880117810943017,0.346016665619558,1,0
mouse's,0.8880117810943017,0.346016665619558,1,0
mousehunt,0.8880117810943017,0.346016665619558,1,0
